path,git_status,extension,bytes,git_last_change,age_days,top_folder,folder2,doc_class,candidate_action,reason
docs/hrx-enterprise/p16-hardening-a-plan.md,tracked,.md,2041,2026-06-19,17,docs,docs/hrx-enterprise,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/hrx-enterprise/p18-release-adoption-plan.md,tracked,.md,1464,2026-06-19,17,docs,docs/hrx-enterprise,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/hrx-enterprise/plan-intake.md,tracked,.md,3454,2026-06-20,16,docs,docs/hrx-enterprise,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/hrx-enterprise/roadmap-package/HRX_Roadmap_06_VALIDATOR_TEST_PLAN.md,tracked,.md,1618,2026-06-20,16,docs,docs/hrx-enterprise,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/hrx-enterprise/roadmap-package/HRX_Roadmap_09_30_60_90_PLAN.md,tracked,.md,1295,2026-06-20,16,docs,docs/hrx-enterprise,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/hrx-integration/hrx-full-integration-plan.md,tracked,.md,265,2026-06-19,17,docs,docs/hrx-integration,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/hrx-weighted-implementation-ledger.json,tracked,.json,3271664,2026-06-19,17,docs,docs/hrx-weighted-implementation-ledger.json,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/hrx-weighted-implementation-ledger.md,tracked,.md,384,2026-06-19,17,docs,docs/hrx-weighted-implementation-ledger.md,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/launch/external-leadtime/pentest-scope-draft.md,tracked,.md,1697,2026-06-19,17,docs,docs/launch,REVIEW,ARCHIVE_REVIEW,stale-name pattern
docs/launch/legacy-disposition-plan.md,tracked,.md,854,2026-06-19,17,docs,docs/launch,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/launch/legacy-disposition-record.md,tracked,.md,709,2026-06-19,17,docs,docs/launch,REVIEW,ARCHIVE_REVIEW,stale-name pattern
docs/launch/legacy-freeze-record.md,tracked,.md,657,2026-06-19,17,docs,docs/launch,REVIEW,ARCHIVE_REVIEW,stale-name pattern
docs/launch/pilot-roster-draft.md,tracked,.md,4375,2026-06-19,17,docs,docs/launch,REVIEW,ARCHIVE_REVIEW,stale-name pattern
docs/launch/pipa-retention-policy-draft.md,tracked,.md,10441,2026-06-19,17,docs,docs/launch,REVIEW,ARCHIVE_REVIEW,stale-name pattern
docs/launch/staffing-plan-draft.md,tracked,.md,6370,2026-06-19,17,docs,docs/launch,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
